step,event,collected,total,x,y
1,1,4810,13766,1.2500697609147609,0.0055121472519812885
2,2,8419,24473,1.2538132521677159,0.005342789863620382
3,3,2294,6860,1.2612806320836967,-0.00130595843489102
4,4,9180,26962,1.2546497233115468,-0.0008391159667581699
5,5,2320,6223,1.2601303879310346,-0.0008213318588836207
6,6,26923,76825,1.252527267763622,-0.003669351641277941
7,7,3987,11554,1.2559304865813894,0.007594365503912716
8,8,8939,25850,1.251909904911064,0.000947229156939255
9,9,14850,42258,1.2563554087542088,0.001995998082930101
10,10,16696,48400,1.2528784385481553,-0.0007902503568191184
11,11,1482,4000,1.2539689946018893,0.005819555634412955
12,12,15339,44748,1.2567386309407393,0.0005451178013401787
13,13,4382,13000,1.2572773573710634,-0.0033904263082473757
14,14,4828,13503,1.2553606358740679,-0.0005913909258782104
15,15,5295,15172,1.2554648819641172,0.002697566375448536
16,16,5129,15078,1.2524519906414506,0.0023143718586196137
17,17,3679,10928,1.261893405816798,0.005085119615238652
18,18,11921,33706,1.2602019721499875,-0.0011103510312893215
19,19,2015,5904,1.2582483970223324,0.003433725881727047
20,20,9678,28035,1.2507575160157056,0.004095189171811325
21,21,13542,39062,1.2517451853492838,0.002143463265351499
22,22,3350,9324,1.2621339074626865,0.010895487984922389
23,23,3133,8811,1.2638415416533675,0.0005887132516437918
24,24,36257,103426,1.2557903386932179,-0.0006981307078578757
25,25,1691,4798,1.2556412123004141,0.0006749904019816677
26,26,5968,17167,1.2539166186327078,0.003058712890902983
27,27,12717,36505,1.261495924353228,0.0003557303925117402
28,28,7166,20287,1.2550008568238906,0.0012330465634775329
29,29,6673,19278,1.2552826929417056,-0.000321134346904241
30,30,5620,15597,1.2548861530249111,-0.0034658651828718863
31,31,3090,8958,1.2572756278317152,0.0018958604658770226
32,32,3032,8857,1.254549610817942,-0.003015028697269129
33,33,6984,20460,1.2606420031500571,0.0007256789889776631
34,34,4183,11586,1.249198599091561,-0.00030138102521635194
35,35,1559,4398,1.2576070237331622,-0.00983303491026299
36,36,2517,7234,1.2528546563369092,-0.0030427721893921335
37,37,10986,31687,1.2572528208629166,0.0009427758799098853
38,38,2924,8327,1.2566555848153216,0.005547245759186047
39,39,10329,28847,1.259168929228386,0.00483829615613128
40,40,2193,6468,1.2572420018239854,0.001282462145398997
41,41,1923,5818,1.25378994799792,0.0053215479378055115
42,42,13115,38720,1.25434,-0.0026264486386359132
43,43,3600,10525,1.2555362,-0.007332923196866667
44,44,5559,15720,1.2545401654973916,0.005702423666475985
45,45,5613,16136,1.2548759184037057,-0.0016846208128113308
46,46,38904,112232,1.2444310114641168,-0.0026981272689805933
47,47,3023,8680,1.2605217829970228,0.00020013138676811115
48,48,8633,24646,1.2561727313795898,0.0009717080855906406
49,49,4755,14087,1.2555477223974765,-0.0007315084850760462
50,50,11133,31516,1.2532153561483876,0.005082190236639719
51,51,2674,7262,1.2515507629020195,-0.000813731137460733
52,52,3912,11070,1.2609925894683027,0.002071802542379857
53,53,4538,13272,1.2538833362714852,0.0032923928224790656
54,54,5189,14729,1.2573715783387935,0.0023015022721911737
55,55,3089,8789,1.2446575169957914,0.0048594246665791515
56,56,7012,20281,1.2579941257843696,0.0037182894359711924
