step,event,collected,total,x,y
1,1,3141,11190,-0.0032779001876790835,-0.12224728965297675
2,2,1028,3297,0.0017261322848249028,-0.11805030126459144
3,3,386,1752,0.0023103937489637304,-0.12559119715025907
4,4,1086,4355,-0.0002523816754143646,-0.12770293683241252
5,5,4226,15424,-0.004249354165336015,-0.11980753958826314
6,6,1836,6354,0.002429674961220044,-0.12099624221132897
7,7,926,3621,-0.002299551981425486,-0.12566013887688984
8,8,1856,6132,0.0056214529073437495,-0.12086361788793103
9,9,1462,4871,0.0009368085883036935,-0.12103862510259919
10,10,3152,11544,-0.004266842386104061,-0.12151104137055838
11,11,2057,7015,-0.01039709751696208,-0.12307002819640253
12,12,3233,11244,0.0029758847885029385,-0.12152618224559233
13,13,5842,21289,-0.004190919478952414,-0.12373460193426909
14,14,931,3930,-0.013859938321374865,-0.1253667740064447
15,15,1194,4051,0.0037908651107202685,-0.11882930343383584
16,16,5446,18020,-0.0010339832595905251,-0.11202011560778553
17,17,3480,12452,-0.0016480938455804598,-0.11938672574712644
18,18,2664,9501,-0.001796140070195195,-0.12249064898648648
19,19,5493,18882,0.007157324062088112,-0.12136713100309483
20,20,2491,8684,0.0019585498759935767,-0.12091439305499799
21,21,2241,7462,0.003213388325470772,-0.11860657492190986
22,22,3455,11275,-0.00656348319759479,-0.12026552509406657
23,23,1384,5143,-0.014663595899710984,-0.12121671828034682
24,24,2000,7822,0.005677039298975,-0.12395943755000001
25,25,2644,9349,-0.001126528948298033,-0.11963439133888049
26,26,2256,7933,0.006064544404210993,-0.12458167690602838
27,27,869,3027,0.005027123569044879,-0.12151902853855005
28,28,4011,14392,0.0015228638012216404,-0.12298170094739466
29,29,1233,5075,0.0003616249759124087,-0.1266248702351987
30,30,2914,9754,0.002464091613730268,-0.12038876503088539
31,31,4418,15554,-0.008009905131553644,-0.1208636565866908
32,32,5304,18050,0.009494312158736803,-0.12235410113122173
33,33,1846,7047,0.0017745878784940412,-0.12253581083423618
34,34,5968,21234,-0.0001671234146430965,-0.12191033290884719
35,35,2812,10197,0.0014784055609530584,-0.12245161682076815
36,36,792,3189,0.002583604493686869,-0.1258719681818182
37,37,801,3184,0.005020707978776529,-0.1252258581772784
38,38,1861,6484,-0.00013769326157979579,-0.12218772552391187
39,39,1622,6046,0.0013365367057521578,-0.1273395836621455
40,40,3675,13657,-0.004025888419891157,-0.12327345657142857
41,41,3459,12739,-0.002286681472304134,-0.12255330982943047
42,42,2012,7466,0.004122031499453281,-0.12352024239562624
43,43,556,2401,-0.003287573109892086,-0.12514719532374102
44,44,3287,11855,-0.0017777454986979007,-0.12310075743839367
45,45,2263,8408,-0.0020207098368979232,-0.12251046217410516
46,46,7679,26859,-0.0020142314633996615,-0.12232986584190648
47,47,3171,11142,-0.005065137488744875,-0.12413281103752759
48,48,1516,6005,0.002459215916292876,-0.12517814149076517
49,49,1431,4721,-0.001960024046862334,-0.1233643215234102
50,50,1892,6848,-0.0024003566711786467,-0.12291844582452431
51,51,1086,3667,0.010694213809208103,-0.11928046952117864
52,52,6319,21928,-0.0007556960822664947,-0.12265903184048109
53,53,4046,14237,-0.004477115432046466,-0.12407800012357885
54,54,250,1038,0.002841886828,-0.12991535880000002
55,55,1131,4163,0.007245283758885942,-0.12201663642793988
56,56,3201,12492,0.000469028894345517,-0.1246000957513277
57,57,1712,6267,-0.0023265207421728972,-0.12259070578271028
58,58,2781,9551,-0.006705436391413161,-0.1224459975548364
59,59,1780,6702,-0.0034612450668651687,-0.12487230882022472
60,60,1549,5937,0.0043181283793415105,-0.12401591504196256
61,61,748,2761,0.0033459110838235293,-0.12852409064171122
62,62,1421,5485,0.008735399557283603,-0.1262166836734694
63,63,2887,10638,0.002162891252743332,-0.12286312646345687
64,64,653,3028,9.040662843797855e-05,-0.12400735160796325
65,65,2382,9065,-0.00843766360191016,-0.12243254706129303
66,66,746,3048,-0.008909876412064343,-0.12416704919571046
67,67,1531,5522,0.0033012140444807314,-0.12236297491835402
68,68,1619,5967,-0.003207875777146387,-0.12408275268684374
69,69,1175,4286,0.015577842597123404,-0.1184230374468085
70,70,2582,8820,-0.0044512630983230056,-0.11951805627420604
71,71,2541,9256,0.006856307586268792,-0.12404182676111766
72,72,5372,18128,0.0035903883586448247,-0.12083067187267311
73,73,2526,9373,0.0038386700490720504,-0.12491361634996043
74,74,4501,15933,-0.0011540441690668741,-0.12210101530770939
75,75,3772,12696,0.0031148647761436903,-0.12311950949098621
76,76,1119,4083,-0.007453571559517425,-0.1268401363717605
77,77,3648,11641,-0.0025992685022697367,-0.11918684438048247
78,78,1320,4316,0.0014226345309848486,-0.12385254446969697
79,79,2313,8154,0.012864575541850411,-0.12446469424989193
80,80,5798,19056,0.004124825582450846,-0.12068641547085202
81,81,1371,4736,0.005522562034473377,-0.12262039292487235
82,82,7674,25828,-0.001638329817671358,-0.11997862309095648
83,83,4511,16658,0.0011996837631438706,-0.12211184803812902
84,84,1093,4102,-0.026553633180603844,-0.1207173733760293
85,85,755,3199,-0.0002986900027814568,-0.1262314713907285
86,86,3804,13702,0.0010905701784674027,-0.12211460946372239
87,87,1638,5253,0.002581126859096459,-0.12123176013431014
88,88,1317,5383,-0.0008599173738041002,-0.1258025974183751
89,89,1763,6860,0.00047002143737946684,-0.12295009370391378
90,90,4578,15869,-0.011405112083435998,-0.12027437295762342
91,91,1320,5032,-0.0019950762611363635,-0.1234702709090909
92,92,2192,7198,-0.0025193096884124086,-0.12026319347627738
93,93,5686,19357,0.0014646595174039746,-0.11593763739008091
94,94,649,2487,0.0002012994628659476,-0.12392574884437597
95,95,510,2185,-0.006041807552352941,-0.12904142254901962
96,96,340,1156,-0.000561271611764706,-0.11951753235294119
97,97,4012,14333,0.005470582386562811,-0.12354714503988036
98,98,1746,6224,5.7041482210767456e-05,-0.12047527686139747
99,99,918,3025,-0.004899313396296297,-0.12113233529411764
100,100,8365,29545,-0.0016956418734943215,-0.12181794994620443
